Date and Time,Store Number,Customer Name,Customer Email,Question,Answer
06 Mar 2018 05:18:31,6003,Elizabeth Caffee,caffee@mail.com,1,8
06 Mar 2018 05:18:31,6003,Elizabeth Caffee,caffee@mail.com,2,2
06 Mar 2018 05:18:31,6003,Elizabeth Caffee,caffee@mail.com,3,8
30 Mar 2018 09:31:01,9314,Brian Smith,smith@mail.com,1,2
30 Mar 2018 09:31:01,9314,Brian Smith,smith@mail.com,2,9
30 Mar 2018 09:31:01,9314,Brian Smith,smith@mail.com,3,2
01 Mar 2018 18:58:12,6003,Willie Istre,istre@aol.com,1,1
01 Mar 2018 18:58:12,6003,Willie Istre,istre@aol.com,2,1
01 Mar 2018 18:58:12,6003,Willie Istre,istre@aol.com,3,1
2018-03-17 01:09:29,2230,Michael Williamson,michael_williamson@gmail.com,1,4
2018-03-17 01:09:29,2230,Michael Williamson,michael_williamson@gmail.com,2,8
2018-03-17 01:09:29,2230,Michael Williamson,michael_williamson@gmail.com,3,7
2018-03-09 03:16:55,2593,John Miller,miller@hotmail.com,1,4
2018-03-09 03:16:55,2593,John Miller,miller@hotmail.com,2,7
2018-03-09 03:16:55,2593,John Miller,miller@hotmail.com,3,6
29 Mar 2018 06:26:50,6003,John Johnson,johnson@aol.com,1,9
29 Mar 2018 06:26:50,6003,John Johnson,johnson@aol.com,2,8
29 Mar 2018 06:26:50,6003,John Johnson,johnson@aol.com,3,8
23 Mar 2018 02:55:59,9547,Sherry Schumaker,sherry_schumaker@yahoo.com,1,9
23 Mar 2018 02:55:59,9547,Sherry Schumaker,sherry_schumaker@yahoo.com,2,7
23 Mar 2018 02:55:59,9547,Sherry Schumaker,sherry_schumaker@yahoo.com,3,9
02 Mar 2018 21:41:38,9547,Amanda Ramirez,amanda_ramirez@hotmail.com,1,10
02 Mar 2018 21:41:38,9547,Amanda Ramirez,amanda_ramirez@hotmail.com,2,6
02 Mar 2018 21:41:38,9547,Amanda Ramirez,amanda_ramirez@hotmail.com,3,6
01 Mar 2018 16:11:46,6003,Dorris Morabito,dorris_morabito@hotmail.com,1,2
01 Mar 2018 16:11:46,6003,Dorris Morabito,dorris_morabito@hotmail.com,2,8
01 Mar 2018 16:11:46,6003,Dorris Morabito,dorris_morabito@hotmail.com,3,5
2018-03-13 04:10:03,2593,Veola Pyle,pyle@hotmail.com,1,9
2018-03-13 04:10:03,2593,Veola Pyle,pyle@hotmail.com,2,4
2018-03-13 04:10:03,2593,Veola Pyle,pyle@hotmail.com,3,7
06 Mar 2018 06:02:44,9547,Charles Jacobs,charles_jacobs@gmail.com,1,9
06 Mar 2018 06:02:44,9547,Charles Jacobs,charles_jacobs@gmail.com,2,1
06 Mar 2018 06:02:44,9547,Charles Jacobs,charles_jacobs@gmail.com,3,1
2018-03-11 07:02:09,2230,Micheal Rizvi,rizvi@gmail.com,1,6
2018-03-11 07:02:09,2230,Micheal Rizvi,rizvi@gmail.com,2,7
2018-03-11 07:02:09,2230,Micheal Rizvi,rizvi@gmail.com,3,7
26 Mar 2018 14:19:55,9547,Laura Rye,laura_rye@hotmail.com,1,7
26 Mar 2018 14:19:55,9547,Laura Rye,laura_rye@hotmail.com,2,9
26 Mar 2018 14:19:55,9547,Laura Rye,laura_rye@hotmail.com,3,8
2018-03-17 05:58:10,2593,William Butts,william_butts@aol.com,1,6
2018-03-17 05:58:10,2593,William Butts,william_butts@aol.com,2,1
2018-03-17 05:58:10,2593,William Butts,william_butts@aol.com,3,3
2018-03-19 01:11:50,2593,Ruby Gerhart,gerhart@hotmail.com,1,8
2018-03-19 01:11:50,2593,Ruby Gerhart,gerhart@hotmail.com,2,8
2018-03-19 01:11:50,2593,Ruby Gerhart,gerhart@hotmail.com,3,8
19 Mar 2018 17:26:45,9314,Charlotte Kohn,charlotte_kohn@hotmail.com,1,8
19 Mar 2018 17:26:45,9314,Charlotte Kohn,charlotte_kohn@hotmail.com,2,1
19 Mar 2018 17:26:45,9314,Charlotte Kohn,charlotte_kohn@hotmail.com,3,1
01 Mar 2018 23:09:09,6003,Don Warney,warney@mail.kz,1,9
01 Mar 2018 23:09:09,6003,Don Warney,warney@mail.kz,2,1
01 Mar 2018 23:09:09,6003,Don Warney,warney@mail.kz,3,7
2018-03-21 12:02:26,2230,Lila Jackson,lila_jackson@hotmail.com,1,8
2018-03-21 12:02:26,2230,Lila Jackson,lila_jackson@hotmail.com,2,1
2018-03-21 12:02:26,2230,Lila Jackson,lila_jackson@hotmail.com,3,5
12 Mar 2018 01:54:16,9314,Edmund Carlow,edmund_carlow@yahoo.com,1,4
12 Mar 2018 01:54:16,9314,Edmund Carlow,edmund_carlow@yahoo.com,2,8
12 Mar 2018 01:54:16,9314,Edmund Carlow,edmund_carlow@yahoo.com,3,7
2018-03-13 12:08:44,2593,Clyde French,french@aol.com,1,9
2018-03-13 12:08:44,2593,Clyde French,french@aol.com,2,4
2018-03-13 12:08:44,2593,Clyde French,french@aol.com,3,8
27 Mar 2018 23:17:01,9314,Susan Mclaurin,mclaurin@aol.com,1,9
27 Mar 2018 23:17:01,9314,Susan Mclaurin,mclaurin@aol.com,2,7
27 Mar 2018 23:17:01,9314,Susan Mclaurin,mclaurin@aol.com,3,8
06 Mar 2018 07:50:57,6003,Mark Bernal,bernal@gmail.com,1,1
06 Mar 2018 07:50:57,6003,Mark Bernal,bernal@gmail.com,2,9
06 Mar 2018 07:50:57,6003,Mark Bernal,bernal@gmail.com,3,5
2018-03-28 02:56:48,2593,Ronald Skeen,ronald_skeen@hotmail.com,1,9
2018-03-28 02:56:48,2593,Ronald Skeen,ronald_skeen@hotmail.com,2,9
2018-03-28 02:56:48,2593,Ronald Skeen,ronald_skeen@hotmail.com,3,9
17 Mar 2018 13:55:42,6003,James Finwall,james_finwall@yahoo.com,1,6
17 Mar 2018 13:55:42,6003,James Finwall,james_finwall@yahoo.com,2,9
17 Mar 2018 13:55:42,6003,James Finwall,james_finwall@yahoo.com,3,6
02 Mar 2018 02:23:41,9314,Shawna Byrd,shawna_byrd@gmail.com,1,1
02 Mar 2018 02:23:41,9314,Shawna Byrd,shawna_byrd@gmail.com,2,1
02 Mar 2018 02:23:41,9314,Shawna Byrd,shawna_byrd@gmail.com,3,1
2018-03-11 17:57:23,2230,Glenna Faison,faison@hotmail.com,1,9
2018-03-11 17:57:23,2230,Glenna Faison,faison@hotmail.com,2,10
2018-03-11 17:57:23,2230,Glenna Faison,faison@hotmail.com,3,9
04 Mar 2018 03:50:26,9314,Sonia Sanchez,sanchez@mail.kz,1,7
04 Mar 2018 03:50:26,9314,Sonia Sanchez,sanchez@mail.kz,2,3
04 Mar 2018 03:50:26,9314,Sonia Sanchez,sanchez@mail.kz,3,3
2018-03-06 18:20:03,2230,David Rios,rios@yahoo.com,1,8
2018-03-06 18:20:03,2230,David Rios,rios@yahoo.com,2,8
2018-03-06 18:20:03,2230,David Rios,rios@yahoo.com,3,8
20 Mar 2018 23:25:23,6003,Dora Smalls,dora_smalls@mail.kz,1,7
20 Mar 2018 23:25:23,6003,Dora Smalls,dora_smalls@mail.kz,2,1
20 Mar 2018 23:25:23,6003,Dora Smalls,dora_smalls@mail.kz,3,4
18 Mar 2018 09:22:42,9547,Philip Ortiz,philip_ortiz@gmail.com,1,1
18 Mar 2018 09:22:42,9547,Philip Ortiz,philip_ortiz@gmail.com,2,1
18 Mar 2018 09:22:42,9547,Philip Ortiz,philip_ortiz@gmail.com,3,1
08 Mar 2018 14:07:44,9547,David Perez,david_perez@hotmail.com,1,7
08 Mar 2018 14:07:44,9547,David Perez,david_perez@hotmail.com,2,7
08 Mar 2018 14:07:44,9547,David Perez,david_perez@hotmail.com,3,7
26 Mar 2018 02:03:14,9314,Treva Murray,treva_murray@yahoo.com,1,9
26 Mar 2018 02:03:14,9314,Treva Murray,treva_murray@yahoo.com,2,6
26 Mar 2018 02:03:14,9314,Treva Murray,treva_murray@yahoo.com,3,7
07 Mar 2018 02:02:55,9547,Christopher Seitz,christopher_seitz@hotmail.com,1,9
07 Mar 2018 02:02:55,9547,Christopher Seitz,christopher_seitz@hotmail.com,2,7
07 Mar 2018 02:02:55,9547,Christopher Seitz,christopher_seitz@hotmail.com,3,7
02 Mar 2018 19:26:30,9547,Steven Holder,steven_holder@gmail.com,1,6
02 Mar 2018 19:26:30,9547,Steven Holder,steven_holder@gmail.com,2,4
02 Mar 2018 19:26:30,9547,Steven Holder,steven_holder@gmail.com,3,4
